identifiant;circonscription;nom;parti_sigle;parti;semaines_presence;commission_presences;amendements_signes;amendements_adoptes
PA718962;8;jean-marc zulesi;LREM;La République en Marche;33;52;1036;291
PA721364;5;raphaël gauvain;LREM;La République en Marche;25;28;338;192
PA718850;2;pierre cordier;LR;Les Républicains;40;61;4120;82
PA767;2;jacques cattin;LR;Les Républicains;27;17;3946;81
PA720022;1;michel lauzzana;LREM;La République en Marche;28;47;493;272
PA718860;1;bénédicte taurine;LFI;La France Insoumise;22;14;5412;36
PA720038;7;sandrine josso;MODEM;Non rattachée;17;9;1603;92
PA610654;4;jean-philippe nilor;GDR;Parti communiste français;8;7;2846;71
PA719676;2;muriel ressiguier;LFI;La France Insoumise;19;16;5404;36
PA722070;5;pierre henriet;LREM;La République en Marche;30;23;383;205
PA719692;4;jean-françois eliaou;LREM;La République en Marche;29;35;441;224
PA719558;8;erwan balanant;MODEM;Mouvement Démocrate;35;38;776;187
PA721690;9;buon tan;LREM;La République en Marche;29;41;452;189
PA719318;4;emmanuelle anthoine;LR;Les Républicains;25;35;7083;184
PA755549;1;sylvain brial;LT;Union des démocrates;0;0;1165;29
PA721702;8;jean-michel fauvergue;LREM;La République en Marche;31;44;457;262
PA719186;3;fadila khattabi;LREM;La République en Marche;33;59;499;212
PA720378;3;richard lioger;LREM;La République en Marche;23;18;323;173
PA719202;5;didier paris;LREM;La République en Marche;28;51;375;210
PA720394;5;nicole trisse;LREM;La République en Marche;26;25;435;178
PA608641;14;yves blein;LREM;La République en Marche;22;14;364;172
PA1029;9;bernard deflesselles;LR;Les Républicains;22;23;1085;24
PA721372;1;damien pichereau;LREM;La République en Marche;23;18;456;210
PA718978;11;mohamed laqhila;MODEM;Mouvement Démocrate;23;18;698;126
PA720030;2;alexandre freschi;LREM;La République en Marche;23;23;520;234
PA718868;2;michel larive;LFI;La France Insoumise;24;30;5423;35
PA720046;8;audrey dufeu;LREM;La République en Marche;21;11;430;217
PA721024;11;anne genetet;LREM;La République en Marche;29;38;430;176
PA722202;6;sébastien jumel;GDR;Parti communiste français;33;34;2971;69
PA642764;8;joël aviragnet;SOC;Parti socialiste;25;15;3731;133
PA719700;5;philippe huppé;AE;La République en Marche;19;13;636;84
PA722094;3;christine hennion;LREM;La République en Marche;23;30;524;215
PA2449;5;jean-pierre pont;LREM;La République en Marche;29;75;476;231
PA720516;11;florence morlighem;LREM;;22;23;353;157
PA720684;7;pierre-henri dumont;LR;Les Républicains;34;28;4699;102
PA606202;1;françoise dumas;LREM;La République en Marche;40;71;481;191
PA643205;10;anne-christine lang;LREM;La République en Marche;23;18;424;216
PA721710;9;michèle peyron;LREM;La République en Marche;31;35;485;217
PA719338;5;graziella melchior;LREM;La République en Marche;25;34;622;201
PA720386;4;fabien di filippo;LR;Les Républicains;33;59;1731;29
PA719210;1;bruno joncour;MODEM;Mouvement Démocrate;24;24;557;115
PA720402;3;xavier paluszkiewicz;LREM;La République en Marche;27;44;695;215
PA605518;10;françois-michel lambert;LT;Régions et peuples solidaires;29;26;2326;70
PA335054;2;marietta karamanli;SOC;Parti socialiste;30;29;3749;133
PA267440;12;éric diard;LR;Les Républicains;32;45;792;15
PA718876;1;grégory besson-moreau;LREM;La République en Marche;15;9;558;198
